"Step","[5k iter FULL k=0.5] adahessian-lr5e-05 - train_loss","[5k iter FULL k=0.5] adahessian-lr5e-05 - train_loss__MIN","[5k iter FULL k=0.5] adahessian-lr5e-05 - train_loss__MAX","[5k]k=0.5-adahessian-lr0.015-bs16-epochs3 - train_loss","[5k]k=0.5-adahessian-lr0.015-bs16-epochs3 - train_loss__MIN","[5k]k=0.5-adahessian-lr0.015-bs16-epochs3 - train_loss__MAX","[FULL k=0.5 interrupted part 1] adahessian-lr0.003-bs16-epochs3 - train_loss","[FULL k=0.5 interrupted part 1] adahessian-lr0.003-bs16-epochs3 - train_loss__MIN","[FULL k=0.5 interrupted part 1] adahessian-lr0.003-bs16-epochs3 - train_loss__MAX"
"0","5.989330387115478","5.989330387115478","5.989330387115478","4.729054772853852","4.729054772853852","4.729054772853852","5.671887378692627","5.671887378692627","5.671887378692627"
"1","5.956805248260498","5.956805248260498","5.956805248260498","3.7107546281814576","3.7107546281814576","3.7107546281814576","4.795697116851807","4.795697116851807","4.795697116851807"
"2","5.891648693084717","5.891648693084717","5.891648693084717","3.1210382175445557","3.1210382175445557","3.1210382175445557","4.001659922599792","4.001659922599792","4.001659922599792"
"3","5.791493625640869","5.791493625640869","5.791493625640869","1.9684740483760834","1.9684740483760834","1.9684740483760834","3.780845799446106","3.780845799446106","3.780845799446106"
"4","5.669390783309937","5.669390783309937","5.669390783309937","1.743545035123825","1.743545035123825","1.743545035123825","3.627687373161316","3.627687373161316","3.627687373161316"
"5","5.636436839103698","5.636436839103698","5.636436839103698","1.5450355154275894","1.5450355154275894","1.5450355154275894","3.465316710472107","3.465316710472107","3.465316710472107"
"6","5.585137805938721","5.585137805938721","5.585137805938721","1.439403741955757","1.439403741955757","1.439403741955757","3.3960625767707824","3.3960625767707824","3.3960625767707824"
"7","5.546666884422303","5.546666884422303","5.546666884422303","1.4019199687242507","1.4019199687242507","1.4019199687242507","3.382854561805725","3.382854561805725","3.382854561805725"
"8","5.55048397064209","5.55048397064209","5.55048397064209","1.4293592458963393","1.4293592458963393","1.4293592458963393","3.1924980425834657","3.1924980425834657","3.1924980425834657"
"9","5.511712732315064","5.511712732315064","5.511712732315064","1.341972028017044","1.341972028017044","1.341972028017044","2.8786090195178984","2.8786090195178984","2.8786090195178984"
"10","5.449379940032959","5.449379940032959","5.449379940032959","1.285975866317749","1.285975866317749","1.285975866317749","2.457726961374283","2.457726961374283","2.457726961374283"
"11","5.439027819633484","5.439027819633484","5.439027819633484","1.3060684621334075","1.3060684621334075","1.3060684621334075","2.1457814621925353","2.1457814621925353","2.1457814621925353"
"12","5.405005941390991","5.405005941390991","5.405005941390991","1.2512549477815629","1.2512549477815629","1.2512549477815629","1.8424640488624573","1.8424640488624573","1.8424640488624573"
"13","5.355626745223999","5.355626745223999","5.355626745223999","1.2234640592336654","1.2234640592336654","1.2234640592336654","1.797486447095871","1.797486447095871","1.797486447095871"
"14","5.352641963958741","5.352641963958741","5.352641963958741","1.3108979231119156","1.3108979231119156","1.3108979231119156","1.8072879737615586","1.8072879737615586","1.8072879737615586"
"15","5.275663576126099","5.275663576126099","5.275663576126099","1.2296170139312743","1.2296170139312743","1.2296170139312743","1.6292406356334685","1.6292406356334685","1.6292406356334685"
"16","5.219169754981994","5.219169754981994","5.219169754981994","1.205354312956333","1.205354312956333","1.205354312956333","1.6046841448545457","1.6046841448545457","1.6046841448545457"
"17","5.143470010757446","5.143470010757446","5.143470010757446","1.2678789746761323","1.2678789746761323","1.2678789746761323","1.6436624628305436","1.6436624628305436","1.6436624628305436"
"18","5.122706069946289","5.122706069946289","5.122706069946289","1.2931233763694763","1.2931233763694763","1.2931233763694763","1.5201148527860642","1.5201148527860642","1.5201148527860642"
"19","5.098491687774658","5.098491687774658","5.098491687774658","1.220941351354122","1.220941351354122","1.220941351354122","1.5483623093366623","1.5483623093366623","1.5483623093366623"
"20","5.025638012886048","5.025638012886048","5.025638012886048","1.3119347125291825","1.3119347125291825","1.3119347125291825","1.402950809597969","1.402950809597969","1.402950809597969"
"21","4.978944897651672","4.978944897651672","4.978944897651672","1.3170308423042298","1.3170308423042298","1.3170308423042298","1.4142685317993164","1.4142685317993164","1.4142685317993164"
"22","4.940674066543579","4.940674066543579","4.940674066543579","1.3347704046964646","1.3347704046964646","1.3347704046964646","1.4486265617609024","1.4486265617609024","1.4486265617609024"
"23","4.922049713134766","4.922049713134766","4.922049713134766","1.3011386221647263","1.3011386221647263","1.3011386221647263","1.3565330213308335","1.3565330213308335","1.3565330213308335"
"24","4.804239573478699","4.804239573478699","4.804239573478699","1.3352002269029617","1.3352002269029617","1.3352002269029617","1.3673857641220093","1.3673857641220093","1.3673857641220093"
"25","4.761357650756836","4.761357650756836","4.761357650756836","1.2796310299634934","1.2796310299634934","1.2796310299634934","1.36588214635849","1.36588214635849","1.36588214635849"
"26","4.737400369644165","4.737400369644165","4.737400369644165","1.3550269269943238","1.3550269269943238","1.3550269269943238","1.255877394080162","1.255877394080162","1.255877394080162"
"28","4.6546119022369385","4.6546119022369385","4.6546119022369385","1.3865940725803376","1.3865940725803376","1.3865940725803376","1.3342716735601425","1.3342716735601425","1.3342716735601425"
"29","4.570898547172546","4.570898547172546","4.570898547172546","1.4409844636917115","1.4409844636917115","1.4409844636917115","1.3108320331573486","1.3108320331573486","1.3108320331573486"
"30","4.577726881504059","4.577726881504059","4.577726881504059","1.3921648585796356","1.3921648585796356","1.3921648585796356","1.1918435615301133","1.1918435615301133","1.1918435615301133"
"31","4.557187314033508","4.557187314033508","4.557187314033508","1.4356173694133758","1.4356173694133758","1.4356173694133758","1.2392259657382965","1.2392259657382965","1.2392259657382965"
"32","4.467581021785736","4.467581021785736","4.467581021785736","1.46385993540287","1.46385993540287","1.46385993540287","1.2080629819631576","1.2080629819631576","1.2080629819631576"
"33","4.400450739860535","4.400450739860535","4.400450739860535","1.4460957658290863","1.4460957658290863","1.4460957658290863","1.2174347817897797","1.2174347817897797","1.2174347817897797"
"34","4.3504242110252385","4.3504242110252385","4.3504242110252385","1.4373308086395264","1.4373308086395264","1.4373308086395264","1.177103561758995","1.177103561758995","1.177103561758995"
"35","4.353249907493591","4.353249907493591","4.353249907493591","1.4655986404418946","1.4655986404418946","1.4655986404418946","1.2159335428476334","1.2159335428476334","1.2159335428476334"
"36","4.365181500911713","4.365181500911713","4.365181500911713","1.5525039261579514","1.5525039261579514","1.5525039261579514","1.203044827580452","1.203044827580452","1.203044827580452"
"37","4.3280241227149965","4.3280241227149965","4.3280241227149965","1.4397541201114654","1.4397541201114654","1.4397541201114654","1.164243334531784","1.164243334531784","1.164243334531784"
"38","4.17013519525528","4.17013519525528","4.17013519525528","1.4977952867746354","1.4977952867746354","1.4977952867746354","1.2142068880796433","1.2142068880796433","1.2142068880796433"
"39","4.172896356582641","4.172896356582641","4.172896356582641","1.457130913734436","1.457130913734436","1.457130913734436","1.2381550747156143","1.2381550747156143","1.2381550747156143"
"40","4.200442509651184","4.200442509651184","4.200442509651184","1.5583211779594421","1.5583211779594421","1.5583211779594421","1.1842257302999497","1.1842257302999497","1.1842257302999497"
"41","4.131536200046539","4.131536200046539","4.131536200046539","1.5720046281814575","1.5720046281814575","1.5720046281814575","1.1317899224162102","1.1317899224162102","1.1317899224162102"
"42","4.0702870965003966","4.0702870965003966","4.0702870965003966","1.5026087480783463","1.5026087480783463","1.5026087480783463","1.1322400456666946","1.1322400456666946","1.1322400456666946"
"43","4.094892566204071","4.094892566204071","4.094892566204071","1.5609543305635452","1.5609543305635452","1.5609543305635452","1.1735050523281096","1.1735050523281096","1.1735050523281096"
"44","4.087325918674469","4.087325918674469","4.087325918674469","1.5464724361896516","1.5464724361896516","1.5464724361896516","1.1100759899616242","1.1100759899616242","1.1100759899616242"
"45","4.030739994049072","4.030739994049072","4.030739994049072","1.6159295266866684","1.6159295266866684","1.6159295266866684","1.1074597734212874","1.1074597734212874","1.1074597734212874"
"46","3.9756741309165955","3.9756741309165955","3.9756741309165955","1.5215564209222794","1.5215564209222794","1.5215564209222794","1.1353413382172584","1.1353413382172584","1.1353413382172584"
"47","3.99299768447876","3.99299768447876","3.99299768447876","1.6037147402763368","1.6037147402763368","1.6037147402763368","1.1648907738924026","1.1648907738924026","1.1648907738924026"
"48","3.9651442313194276","3.9651442313194276","3.9651442313194276","1.5918904983997344","1.5918904983997344","1.5918904983997344","1.0967114853858948","1.0967114853858948","1.0967114853858948"
"49","3.9588446545600893","3.9588446545600893","3.9588446545600893","1.6396513611078263","1.6396513611078263","1.6396513611078263","1.1239282029867173","1.1239282029867173","1.1239282029867173"
"50","3.9325241661071777","3.9325241661071777","3.9325241661071777","1.6576196712255478","1.6576196712255478","1.6576196712255478","1.0735437962412835","1.0735437962412835","1.0735437962412835"
"51","3.9759542870521547","3.9759542870521547","3.9759542870521547","","","","1.0853732427954674","1.0853732427954674","1.0853732427954674"
"52","4.066128010749817","4.066128010749817","4.066128010749817","","","","","",""