,adamw,adahessian[k=0.5],adahessian[k=0.25]
0,5.146807250976562,5.671887378692627,5.391990840435028
1,3.3218759655952455,4.795697116851807,3.968864505290985
2,2.0490704667568207,4.001659922599792,3.4051524424552917
3,1.6689583337306977,3.780845799446106,2.754424388408661
4,1.563150626420975,3.627687373161316,2.1459420096874235
5,1.4771603006124496,3.465316710472107,1.819314080476761
6,1.373753622174263,3.3960625767707824,1.6773355996608734
7,1.3160570216178895,3.382854561805725,1.5290752828121186
8,1.3059894663095477,3.1924980425834657,1.4585674178600312
9,1.2835332572460174,2.8786090195178984,1.3661367255449297
10,1.2186857783794405,2.457726961374283,1.4225931799411773
11,1.2879657858610154,2.1457814621925353,1.3193412911891935
12,1.1445321333408356,1.8424640488624573,1.2960944533348084
13,1.21326928794384,1.797486447095871,1.3038363534212112
14,1.2217196500301362,1.8072879737615584,1.2794873636960984
15,1.2907901227474212,1.6292406356334683,1.2005481976270675
16,1.1927647179365155,1.6046841448545457,1.2136594265699387
17,1.1916758647561074,1.6436624628305436,1.26719981610775
18,1.2038696664571762,1.5201148527860642,1.208135253787041
19,1.186912950873375,1.5483623093366623,1.2625918179750442
20,1.1596033054590225,1.402950809597969,1.2200635915994644
21,1.137016975879669,1.4142685317993164,1.2013340681791305
22,1.2308278262615204,1.4486265617609024,1.1443784600496292
23,1.124852534532547,1.3565330213308335,1.149267145395279
24,1.1926055979728698,1.3673857641220093,1.1429765552282334
25,1.185084519982338,1.36588214635849,1.1747639495134354
26,1.1711227172613143,1.255877394080162,1.1703038209676742
27,1.191516251862049,1.2950745338201521,1.1639636620879172
28,1.1443683195114136,1.3342716735601423,1.1576235032081603
29,1.112954012453556,1.3108320331573486,1.1042712396383283
30,1.1805246180295943,1.1918435615301133,1.1792343908548355
31,1.160829250216484,1.2392259657382965,1.1552824455499648
32,1.107479852735996,1.2080629819631576,1.082152493596077
33,1.1931301766633988,1.2174347817897797,1.0067386120557784
34,1.1710169664025307,1.177103561758995,1.1218956810235978
35,1.0909551084041595,1.2159335428476334,1.120779138803482
36,1.1292438271641732,1.203044827580452,1.0466298988461495
37,1.088779643177986,1.164243334531784,1.109313240647316
38,1.088091451525688,1.2142068880796433,1.0060379964113235
39,1.094203568994999,1.2381550747156145,1.0610023540258409
40,1.0625308483839035,1.1842257302999497,1.054624314904213
41,1.0509107160568236,1.1317899224162102,0.9409536018967628
42,1.0445246091485023,1.1322400456666946,1.0260170418024064
43,1.105017930269241,1.1735050523281096,0.9991174492239951
44,1.043621240854263,1.1100759899616242,1.0060294684767723
45,1.0722966611385345,1.1074597734212874,1.0146664097905158
46,1.0545913225412369,1.1353413382172584,1.0291128554940223
47,1.1476839685440063,1.1648907738924026,1.0228602102398872
48,1.0368507704138756,1.0967114853858948,1.0040027937293052
49,1.0762614411115647,1.1239282029867173,1.059976879954338
50,1.0828569900989533,1.0735437962412837,1.0125332179665565
51,1.1059155201911923,1.085373,1.0316114115715027
52,1.0713348799943925,1.097032,1.005546388030052
53,1.0893783235549928,1.108691,0.9838228717446328
54,0.98997361600399,1.07035,1.0168741819262506
55,1.0380966439843178,1.082009,0.9829316046833992
56,1.0618466499447825,1.073668,1.0010311837494374
57,1.0134445708990096,1.065327,1.0191307628154755
58,1.037465879023075,1.066986,1.0085303580760956
59,1.0653299355506898,1.068645,1.0290283289551736
60,1.0369843760132789,1.059304,1.0412964609265327
61,1.0161018124222756,1.051963,1.071200322508812
62,0.9950720417499542,1.124420602917671,1.0293194377422332
63,0.9857000060379504,1.0726696449518205,0.946270846426487
64,0.9685072922706603,1.063198431134224,0.9940292209386824
65,0.9878878101706504,1.0979235643148422,0.9814154320955276
66,1.045818653702736,1.070217913389206,0.9627057778835296
67,1.1121506571769717,1.0329899695515632,0.9725530180335044
68,1.0486720430850982,1.0943770116567613,1.0116156134009362
69,0.9801476231217384,1.0644505167007443,1.019356102049351
70,1.0085680988430976,1.046090531051159,0.9943213957548142
71,1.0134257829189302,1.0374322959780693,0.9781033766269684
72,0.9671158972382544,0.9934785225987436,0.9133949321508408
73,0.9627391374111176,1.039490951001644,1.0109783294796943
74,0.9970218724012376,1.1006168660521507,1.0345449149608612
75,0.9588887161016464,1.0769511666893958,0.9836291226744652
76,0.9363408651947976,0.9388111543655396,0.921745175421238
77,0.9676775720715522,1.0592120689153672,1.031001652479172
78,0.8991058233380318,1.0138711988925937,0.9670609498023988
79,0.9461986202001572,1.032385216653347,0.9837923836708068
80,0.9953703132271766,1.0430997291207311,0.926767436861992
81,0.9781667825579644,1.0576822516322135,0.9819794201850892
82,0.9123752684146167,1.0409645000100136,1.017963490486145
83,0.8465837542712689,1.070591565966606,1.0162787735462189
84,0.7679564163088799,0.9959615314006806,0.9867016297578811
85,0.7348883719742298,1.0046113019188245,0.9571244859695434
86,0.7673978051543235,1.0132610724369684,0.9275473421812056
87,0.8009711149334907,1.0219108429551125,0.8853222334384918
88,0.7893041478097439,0.9656437513232232,0.8695708903670311
89,0.7246537616848946,0.9654794910550116,0.8660394944250583
90,0.7740724694728851,0.942507429420948,0.8640505102276802
91,0.744716283455491,1.060429601073265,0.8803032380342484
92,0.7263626767694951,0.970356837809086,0.82898631721735
93,0.7665431100130081,0.9429052931070327,0.8777770152688027
94,0.7852459827065468,0.9313649600744248,0.8909950166940689
95,0.8017755556106567,0.9635367971658708,0.8562256142497062
96,0.7915260344743729,0.9754797965288162,0.8759857887029647
97,0.7833864241838455,0.893401820063591,0.9196538835763932
98,0.7769728535413742,0.9595475041866304,0.8818938162922859
99,0.7468053574860096,0.9650442919135094,0.9777132442593576
100,0.7908611349761486,0.9930782914161682,0.937401579618454
101,0.7537094761431217,0.9663992528617382,0.8980033788084983
102,0.7766088213026524,0.9115539851784706,0.9395407217741012
103,0.7664625281095505,0.9519546049833296,0.8887434786558152
104,0.7775474032759666,0.9455483424663544,0.9380755373835564
105,0.7836218339204788,1.0189144790172575,0.8988885769248008
106,0.7581689183413982,1.0121229639649392,0.9099754610657692
107,0.7372131916880608,0.9896935686469078,0.901765004694462
108,0.7273818364739418,0.9781841483712196,0.90313696205616
109,0.7781158444285393,0.9606310877203942,0.917227149307728
110,0.7875050777196884,0.9762982562184334,0.9215645188093186
111,0.8080648805201054,0.9853724911808968,0.8962985855340958
112,0.7446813158690929,0.9792160683870316,0.9019384986162186
113,0.7582828836143016,1.0233620890975,0.9588963702321052
114,0.8023322600126267,0.9633863154053688,0.9382925017178058
115,0.778570049405098,0.9747766542434693,0.9176886332035064
116,0.7580347260832787,0.9861669930815696,0.9323840670287608
117,0.6953730461001396,0.9290101179480552,0.9136655497550964
118,0.732688185274601,0.961177344918251,0.8908644941449165
119,0.7352782242000103,0.9127611920237542,0.9348886275291444
120,0.712978330552578,1.009592404961586,0.9369400721788408
121,0.72622234351933,0.968804889023304,0.9451515567302704
122,0.7714177396893501,1.0038574025034903,0.8733620467782021
123,0.8032256104052067,1.01156939715147,0.9172051870822906
124,0.7691817533969879,0.9620445568859576,0.8801346787810326
125,0.7270707841217517,0.9593625074625016,0.9623863518238068
126,0.7140345476567745,0.8999320274591446,0.9093604546785354
127,0.7674561458826065,0.980170795917511,0.9757803258299828
128,0.7269661572575569,0.9177781230211258,0.9561185929179192
129,0.764798633158207,0.9186468222737312,0.9499279361963272
130,0.7175095877051354,0.973791463971138,0.9063434052467346
131,0.7353958728909492,0.898480135500431,0.9199012896418572
132,0.7745850433409214,0.9547801449894904,0.9094798442721368
133,0.7178084579110146,0.92684235394001,0.9006854379177094
134,0.7455995398759842,1.0014931377768517,0.917488442659378
135,0.7173825997114182,1.032169224321842,0.9779732513427736
136,0.6965543049573898,0.9487719404697418,0.8662402832508087
137,0.7468133585900069,0.999008079469204,0.9119367742538452
138,0.7463100656867028,0.955177545249462,0.984340894818306
139,0.7491770270466804,0.992786546945572,0.9259798812866212
140,0.7277445837855339,0.9539611631631852,0.9319412416219712
141,0.7533595764636993,1.0102392774820328,0.8906359449028969
142,0.7357646709680558,0.9995226055383682,0.9131349617242813
143,0.717246248871088,0.9767693434655667,0.9356339785456658
144,0.6898607343435288,0.9540160813927652,0.9580687853693962
145,0.7437849178910255,0.9328165951371192,0.904448708295822
146,0.7103337274491787,0.9113276785612108,0.9273240602016448
147,0.7603336465358734,0.9850856411457062,0.8853359183669091
148,0.7165804395079612,0.9503583070635796,0.9317899498343468
149,0.698041498363018,0.9333981651067734,0.8370017904043198
150,0.7057796853780747,0.9740188732743263,0.9102725449204444
151,0.6581731675565243,0.9937979885935784,0.8488518980145454
152,0.6790234619379043,0.9876146331429482,0.9412733203172684
153,0.7753864303231239,0.9491347804665564,0.8758187729120255
154,0.7257902449369431,0.9452550593018532,0.8684358784556389
155,0.715437108874321,0.9103158029913904,0.8644233232736588
156,0.7968103216588497,0.9065954300761224,0.9234608155488968
157,0.7355830946564674,0.9406197956204414,0.9419062182307244
158,0.672192780226469,0.9085674050450324,0.8709095168113709
159,0.7075042676925659,0.9522014325857162,0.8963292762637138
160,0.6900499987602234,0.9502824378013612,0.8817247384786606
161,0.7563592278957367,0.9676804646849632,0.90957858979702
162,0.6859138622879982,0.9449273484945298,0.9213145384192468
163,0.7054759927093983,0.9261689928174018,0.8952010971307754
164,0.6698821744322777,0.9810829800367356,0.8967138335108757
165,0.6459120294451713,0.9619775441288948,0.9187004855275154
166,0.6011474383622408,0.949575528204441,0.9434397995471956
167,0.5563828472793102,0.9395691746473313,0.9160658675432204
168,0.4698649197071791,0.9444741201400756,0.9126086202263832
169,0.4337621437013149,0.9188043490052225,0.8969615629315376
170,0.4608306771516799,0.9132781645655632,0.9074442556500436
171,0.4740195502340794,0.9409943985939024,0.8810271660486858
172,0.4934022225439548,0.8998205686608949,0.854610076447328
173,0.4849456639960408,0.8586467387278874,0.8281929868459702
174,0.5046145539730787,0.8174729087948799,0.6838447722792625
175,0.463125287219882,0.739643821567297,0.7003847187757493
176,0.4698767766356468,0.7747201803326607,0.7727645608782768
177,0.4895561693608761,0.7721115228533745,0.6944513589143753
178,0.4692752563208341,0.697421937584877,0.711806483566761
179,0.498676614165306,0.7960954168438912,0.7759995996952057
180,0.4651093649119138,0.7581002053618431,0.7337682718038558
181,0.4819755406677723,0.7653760915994644,0.7503233993053436
182,0.4488859175890684,0.7341181482374668,0.736058563888073
183,0.4650515533983707,0.7813329876959324,0.7529287528991699
184,0.50250900760293,0.7936133949458599,0.7176824805140495
185,0.4570514252781868,0.7656048129498959,0.7244270646572113
186,0.5036208437383175,0.7924390411376954,0.740915875583887
187,0.4803013828396797,0.7753039902448654,0.7270249563455582
188,0.4401279231160879,0.7585726633667946,0.6972400957345962
189,0.4732297889888286,0.7435981518030167,0.7488785113394261
190,0.4380232711136341,0.769106476008892,0.7599997754395008
191,0.4704384383559227,0.7870922502875328,0.6960997848212719
192,0.4141327975690365,0.7787917013466358,0.7326611709594727
193,0.46941490188241,0.8216610059142113,0.7759229770302772
194,0.4895105317234993,0.7523659008741379,0.7799217054247856
195,0.4420358617603779,0.7601504291594029,0.6902822104096412
196,0.4601822996139526,0.7798262321949005,0.7297427904605865
197,0.4543923442810774,0.7382139325141907,0.7328917977213859
198,0.4889792907238006,0.7501932442188263,0.7031225922703743
199,0.4168707165122032,0.7829456719756126,0.7251914252340793
200,0.5117775918543339,0.8303939241170883,0.7340062006562948
201,0.4529997703433037,0.8091669139266014,0.7428209760785103
202,0.4555499199032783,0.7879399037361146,0.6936228615045548
203,0.4709796517342329,0.7744702592492103,0.7590344682335853
204,0.4498418003320694,0.7486381143331527,0.7556268072128296
205,0.4409215351939201,0.805678240954876,0.7025864359736442
206,0.4354327373951673,0.7910639479756355,0.7240640985965728
207,0.4632202087342739,0.8201015821099281,0.7401149436831475
208,0.4728596474975347,0.763969789147377,0.6804668374359608
209,0.4597333961725235,0.7778745579719544,0.6601730050146579
210,0.4465673850476742,0.7794254933297634,0.7481881652772426
211,0.443549667596817,0.7773073297739029,0.7079758232831955
212,0.4743029451370239,0.756876183450222,0.7133632858097553
213,0.4380301799625158,0.7613914225995541,0.6910929414629936
214,0.4516762892156839,0.731252321600914,0.6774513630568981
215,0.4275015357136726,0.7810330379009247,0.7361385916173458
216,0.4243187668174505,0.8201839730143548,0.7376089434325696
217,0.4866193185001611,0.7476610250771045,0.7092228910326958
218,0.4105304463952779,0.7456306216120719,0.6921802774071694
219,0.4186953045427799,0.7796581891179085,0.6838555774092674
220,0.4652655443549156,0.7468804490566253,0.6895153521001339
221,0.4290719674527645,0.7758478045463562,0.672122715562582
222,0.4787986212968826,0.7507393252849579,0.719190266430378
223,0.4521699304878712,0.7426261857151986,0.7423645150661469
224,0.4637523809075355,0.8024658581614494,0.6980057317018509
225,0.4392684543132782,0.7195255701243878,0.6627617266774177
226,0.4484541565924883,0.795975971519947,0.7275584524869919
227,0.4614867860823869,0.735459817647934,0.6830812263488769
228,0.460423703789711,0.7430167204141617,0.5935704152286053
229,0.442494957447052,0.7929634881019593,0.6464366448670626
230,0.3974373612552881,0.7974073234945536,0.6993028745055199
231,0.4039628668501973,0.8018511588871479,0.6539248995482921
232,0.4248362365365028,0.7504221965372563,0.6734520315378905
233,0.4568459408730268,0.7443030320107937,0.6493801012635231
234,0.438063316270709,0.733146787583828,0.6627878001332284
235,0.4208563213050365,0.7811261023581028,0.7398156756162644
236,0.4231124398857355,0.7484102638065815,0.6582739690691233
237,0.4502709577977657,0.7194924050569534,0.6439751492440701
238,0.4439344727993011,0.7228429353237152,0.6804561588168144
239,0.4410201246291399,0.8098546710610389,0.666276828199625
240,0.4627004289627075,0.7649972891807556,0.668049621284008
241,0.4260470116883516,0.70835334405303,0.6549074047803879
242,0.4125424764305353,0.7279652017354965,0.6778602048754692
243,0.4744228088110685,0.7671024502813816,0.6433001609146595
244,0.4653233221173286,0.7750450798869133,0.6728884717822075
245,0.4258394487947226,0.7559778571128846,0.6628820553421975
246,0.4582155978679657,0.7315941506624222,0.6707553282380104
247,0.4207550597935915,0.7334696089476347,0.6522989827394485
248,0.4167763033136725,0.71544219404459,0.627271727770567
